grey_shirt,0,89934,"grey_blouse,gray_shirt" 
backpack,0,89913,"rucksack,back_pack,ranset" 
hakurei_reimu,4,89908,"/hr,reimu_hakurei" 
thigh_gap,0,89893, 
black_necktie,0,89786, 
couple,0,89319,romance 
bottle,0,89300,bottles 
shoulder_armor,0,89292,shoulder_armour 
straddling,0,89248,straddle 
juliet_sleeves,0,88963,"puffy_shoulder_long_sleeves,puffy_shoulders_long_sleeves" 
feathered_wings,0,88952,feather_wings 
looking_up,0,88695, 
bug,0,88104,"insect,insects,bugs" 
blazer,0,88000, 
straight_hair,0,87328, 
tassel,0,87178,"tassle,tassels" 
crossed_bangs,0,86954, 
holding_gun,0,86795, 
crown,0,86751, 
holding_phone,0,86742,holding_cellphone 
suspenders,0,86739,suspender 
yellow_background,0,86696,/yellowbg 
black_belt,0,86494, 
animal_print,0,86490,animalprint 
skin_fang,0,86438,"lip_fang,flesh_fang" 
t-shirt,0,86396,"t_shirt,tshirt" 
skirt_lift,0,86181,"lifting_skirt,skirt_up,skirt_up,lift_skirt,lifted_skirt,/skl,skirtlift" 
sneakers,0,85315,tennis_shoes 
facing_viewer,0,85205, 
puffy_long_sleeves,0,85187,"bishop_sleeves,long_puffy_sleeves" 
bara,0,85165, 
stuffed_animal,0,85145,"plushy,plushies,stuffed_animals,plushie,nuigurumi" 
